	GSM8343538	GSM8343539	GSM8343540	GSM8343541	GSM8343542	GSM8343543
105372791	5	21	33	24	26	24
54065	141	162	155	179	194	144
101928147	3	20	20	14	21	15
105372793	18	28	32	49	29	34
3753	12	6	11	9	13	9
1827	332	729	1961	1974	2419	1572
54102	44	12	32	17	23	12
100506385	6	22	47	52	46	29
861	120	139	234	152	153	101
54093	1163	1202	1481	1372	1360	1041
100133286	62	87	103	111	169	75
873	125	595	793	744	866	593
100506428	14	86	84	87	110	142
874	6	30	25	47	68	126
9980	1131	2028	1832	2013	2058	1398
23515	770	2296	2288	2529	2615	2213
8208	1824	2178	2951	2755	3309	2460
6493	56	131	128	125	131	111
3141	1302	3153	3311	3377	3840	2738
105369305	6	43	45	30	33	41
53820	1328	1118	339	391	394	210
105372795	7	35	23	39	34	13
51227	138	307	382	388	450	297
7267	8862	28885	31668	35157	35878	27018
100874006	194	577	685	776	772	607
257203	46	80	67	64	53	67
10311	1134	1886	1991	2086	2213	1920
1859	5198	8140	9022	10124	10662	8245
105372797	8	105	97	146	96	115
105372798	17	13	72	67	83	74
3763	75	356	88	119	177	215
101928368	1	10	3	5	11	9
2078	0	3	96	262	322	223
105372802	0	0	1	25	6	13
2114	262	529	1213	1342	1675	938
102724740	13	21	47	40	28	25
107985484	13	7	11	2	7	3
8624	782	1374	2256	1783	2596	1946
54014	3291	8206	9619	9748	8646	7596
103091865	146	65	73	74	90	62
100874093	17	59	58	61	30	47
3150	6977	17711	22996	20916	23744	18196
105372804	7	3	10	12	12	4
7485	665	1647	1781	1933	2079	1491
106865373	365	464	575	476	616	434
150082	50	109	219	216	204	182
6450	55	72	139	91	108	67
114041	55	89	91	84	74	85
10317	598	1012	784	884	794	687
150084	48	114	133	140	136	85
107985499	14	38	24	5	16	19
5121	8	35	75	91	98	52
1826	50	109	78	131	83	45
284835	2	2	5	13	9	13
25825	261	331	1007	1284	1644	1335
191585	99	75	127	170	149	202
4600	20	37	34	20	10	8
4599	71	145	206	165	110	84
63977	608	1177	1167	1239	1307	1143
25966	881	939	1462	1473	1439	1376
106635524	8	16	29	19	13	2
49854	518	1598	2377	2331	2425	1704
150142	36	18	33	21	27	23
89766	28	8	19	17	13	2
9619	630	1148	813	1348	1314	640
105372814	57	54	31	56	56	18
7033	0	0	21	22	29	4
64699	2	3	6	21	15	2
89765	68	93	82	94	83	39
54020	613	951	829	964	1041	395
107987299	245	303	248	283	232	135
101928212	86	134	149	157	97	70
101928255	45	40	36	20	17	24
5152	868	1343	1339	1428	1466	955
